feature,importance
Contract,740.6177978515625
InternetService,120.5292739868164
OnlineSecurity,111.91078186035156
TechSupport,104.54021453857422
StreamingTV,75.81912231445312
MonthlyCharges_per_tenure,71.89091491699219
PaymentMethod,44.14775848388672
PaperlessBilling,33.53445816040039
MultipleLines,30.84099578857422
StreamingMovies,28.36170196533203
PhoneService,22.427379608154297
MonthlyCharges,22.103660583496094
tenure,19.414499282836914
OnlineBackup,17.3143367767334
Dependents,16.6519775390625
TotalCharges,13.296337127685547
tenure_category,12.407066345214844
DeviceProtection,8.80575942993164
Partner,7.041450023651123
gender,6.31040620803833
